id,entorno,nombre,etapa,tipo,area_responsable,descripcion,monto_contrato,comuna,barrio,direccion,lat,lng,fecha_inicio,fecha_fin_inicial,plazo_meses,porcentaje_avance,imagen_1,imagen_2,imagen_3,imagen_4,licitacion_oferta_empresa,licitacion_anio,contratacion_tipo,nro_contratacion,cuit_contratista,beneficiarios,mano_obra,compromiso,destacada,ba_elige,link_interno,pliego_descarga,expediente-numero,estudio_ambiental_descarga,financiamiento
1,Plan 54 escuelas,Escuela de Educación Primaria N.° 24 D.E. 15 «Francisco Morazán» - Siglo XXI,Finalizada,Escuelas,Ministerio de Educación,Primaria,67065700,12,Villa Urquiza,"RIVERA, PEDRO I., DR. 4221",-34.5671531157142,-58.4792365744249,01/12/2013,31/05/2016,29,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/1.jpg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/1-2.jpg,,,Criba S.A.,2013,Licitación Pública,2030-MDUGC-2013,30505454436,,,,SI,,https://www.buenosaires.gob.ar/baobras/54-escuelas,https://buenosaires.gob.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/148,914412-MDUGC-2013,,
2,Donado Holmberg,Calle Holmberg: Nivelación en cruce,Finalizada,Espacio Público,Secretaría de Transporte y Obras Públicas,"En el marco del proyecto urbano del Barrio Parque Donado Holmberg, se creó un parque lineal planteado como un recorrido que incluyó pequeñas plazas y generó continuidad física y espacial a lo largo de toda su traza, mediante la nivelación de los cruces en las intersecciones del par Holmberg y Donado con las calles Tomás le Bretón, Pedro Ignacio Iivera, Blanco Encalada, Mendoza, Virrey del Pino y Carbajal.",9950017,12,Villa Urquiza,HOLMBERG Y OLAZABAL AV.,-34.5705334368156,-58.4756140399718,16/03/2015,15/07/2016,16,100,https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/nivelacioncrucesholmberg/nivelacion_holmberg.jpg,,,,Altote S.A,2014,Licitación Pública ,957/2014 ,30707431896,,16,,,,https://www.buenosaires.gob.ar/baobras/Donado-Holmberg,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/165,5515928/2014,,
3,Área Ambiental Central,Área Ambiental Central: Calles Alsina Y Moreno,Finalizada,Espacio Público,Secretaría de Transporte y Obras Públicas,"Se intervinieron los tramos comprendidos entre la Av. Presidente Julio Argentino Roca y la calle Defensa, realizando obras de nivelación, colocación de dársenas de carga y descarga, nuevas luminarias y se reemplazó el pavimiento por el granitullo para recuperar el aspecto tradicional de la calle.",36942632,1,Montserrat,"ALSINA, ADOLFO E IRIGOYEN, BERNARDO DE",-34.6107259046774,-58.3806001913762,12/01/2016,15/11/2017,22,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/3-1.jpg,,,,Rol Ingenieria S.A,2016,,,30578447659,,55,SI,,,https://www.buenosaires.gob.ar/baobras/area-ambiental-central,"https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev,php/licitation/index/id/227",,,
4,Área Ambiental Central,Área Ambiental Central: Calle Esmeralda I,Finalizada,Espacio Público,Secretaría de Transporte y Obras Públicas,"La obra incluyó el tramo ubicado entre la Av. Santa Fe y la Av. de Mayo en donde se realizaron obras de nivelación con el objetivo de dejar un carril central para tránsito liviano, restringiendo el paso de colectivos. Además, se intalarón nuevas luminarias y se plantarón árboles.",26938294,1,San Nicolás,ESMERALDA Y CORRIENTES AV.,-34.6034869708627,-58.3780780925184,27/10/2014,28/02/2017,28,100,https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/esmeraldaunoprioridadpeatonal/calle_esmeralda_prioridadpeatonal1.jpg,https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/esmeraldaunoprioridadpeatonal/calle_esmeralda_prioridadpeatonal2.jpg,https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/esmeraldaunoprioridadpeatonal/calle_esmeralda_prioridadpeatonal3.jpg,,Dal Construcciones S.A,2014,,,30604370171,,59,SI,,,https://www.buenosaires.gob.ar/baobras/area-ambiental-central,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/161,,,
5,Villa Olímpica,Villa Olímpica: Demoliciones en el Parque de la Ciudad,Finalizada,Vivienda,Secretaría de Transporte y Obras Públicas,Se realizó las demoliciones de las construcciones existentes en el predio del parque de la Ciudad de Buenos Aires para la construcción y emplazamiento de la Villa Olímpica en la comuna 8.,6990315,8,Villa Soldati,ESCALADA AV. 4218,-34.6732416929548,-58.4585438979202,20/12/2014,20/12/2015,12,100,https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_villaolimpica_demoliciones_foto1.jpg,,,,SES SA,2014,Licitación Pública,1582/2014,30647727545,,,SI,,,https://www.buenosaires.gob.ar/baobras/villa-olimpica,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/index.php/licitation/index/id/177,13793268/DGPUYA/2014,,
6,Villa Olímpica,Villa Olímpica: Viviendas II,Finalizada,Vivienda,Secretaría de Transporte y Obras Públicas,La segunda licitación comprendió la construcción de 3 edificios con una superficie aproximada de 13.000m2 destinados a vivienda y 470m2 que fueron destinados a locales comerciales.,148823367,8,Villa Lugano,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",-34.6737481938886,-58.4590036131792,15/02/2016,30/08/2017,18,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/6-1.jpg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/6-2.jpg,,,EMACO SA - CONSTRUCTORA LANUSSE SA -UTE,2015,Licitación Pública,115/2015,30714969362,,,SI,SI,,https://www.buenosaires.gob.ar/baobras/villa-olimpica,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/185,16.821.753-0GPUYAJ2014,,
7,Villa Olímpica,Villa Olímpica: Viviendas III,Finalizada,Vivienda,Secretaría de Transporte y Obras Públicas,El tercer conjunto licitado comprendió la construcción de 3 edificios con una superficie aproximada de 13.000m2 que fueron destinados a vivienda y 370m2 que fueron destinados a locales comerciales.,179192366,8,Villa Lugano,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",-34.6737481938886,-58.4590036131792,25/02/2016,15/10/2017,20,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/7-1.jpg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/7-2.jpg,,,Bricons S.A.I.C.F.I.,2015,Licitación Pública,329-329-MDUGC-2015,30541068151,,,SI,,,https://www.buenosaires.gob.ar/baobras/villa-olimpica,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/188,1026045-1026045-DGPUYA-2015,,
8,Villa Olímpica,Villa Olímpica: Viviendas IV,Finalizada,Vivienda,Secretaría de Transporte y Obras Públicas,La cuarta licitación comprendió la construcción de 3 edificios con una superficie de aproximada de 14.050m2 destinados a vivienda y 380m2 que fueron destinados a locales comerciales.,163279322,8,Villa Lugano,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",-34.6737481938886,-58.4590036131792,15/02/2016,30/08/2017,18,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/8-1.jpg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/8-2.jpg,,,Dycasa S.A.,2015,Licitación Pública,395/2015,33516294189,,,SI,,,https://www.buenosaires.gob.ar/baobras/villa-olimpica,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/189,2.163.614-MGEYA-DGPUYA-2015,,
9,Villa Olímpica,Villa Olímpica: Viviendas IX,Finalizada,Vivienda,Secretaría de Transporte y Obras Públicas,La licitación Nº 9 contempló la construcción de 3 edificios con una superficie aproximada de 9.900m2 que fueron destinados a vivienda y 250m2 que fueron destinados a locales comerciales.,137837183,8,Villa Lugano,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",-34.6737481938886,-58.4590036131792,28/03/2016,15/02/2018,23,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/9-1.jpg,,,,Criba S.A.,2015,Licitación Pública,580/2015,30505454436,,,SI,,,https://www.buenosaires.gob.ar/baobras/villa-olimpica,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/196,12.809.363-MGEYA-DGPUYA-2015,,
10,Villa Olímpica,Villa Olímpica: Viviendas V,Finalizada,Vivienda,Secretaría de Transporte y Obras Públicas,La licitación Nº 5 contempló la construcción de 3 edificios con una superficie aproximada de 13.000m2 que fueron destinados a vivienda y 230m2 que fueron destinados a locales comerciales.,166503404,8,Villa Lugano,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",-34.6737481938886,-58.4590036131792,15/03/2016,30/09/2017,18,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/10-1.jpg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/10-2.jpg,,,Dycasa S.A.,2015,Licitación Pública,396/2015,33516294189,,,SI,,,https://www.buenosaires.gob.ar/baobras/villa-olimpica,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/190,2.254.226-MGEYA-DGPUYA-2015,,
